id,noise_type,noise_level,prompt_in,gold,pred,correct
28,spacing,high,Find the minimum of these numbers: 8 1 8.   Return only the number.,1,The minimum number from the given set is 1.,0
29,spacing,high,"Find the minimum of these numbers: 15 14, 16.   Return only the number.",14,The minimum of the given numbers is 14.,0
30,spacing,high,Find the   minimum of these numbers:   99 9 19. Return only the number.,9,The minimum of the given numbers is 9.,0
31,spacing,high,Classify the   sentiment of   the sentence   'I   love this product' as   Positive or Negative   Return only 'Positive' or 'Negative',Positive,Positive,1
32,spacing,high,Classify   the sentiment of the sentence 'This is terrible' as Positive   or Negative Return only 'Positive' or   'Negative',Negative,Negative,1
33,spacing,high,Classify the sentiment   of the sentence 'Absolutely fantastic!'   as Positive or Negative. Return only 'Positive'   or 'Negative',Positive,Positive,1
34,spacing,high,Classify the sentiment of the   sentence 'Not good at all' as Positive or Negative Return only 'Positive' or   'Negative'.,Negative,Negative,1
35,spacing,high,Classify the sentiment of the sentence 'I really enjoyed it'   as Positive or   Negative   Return only 'Positive' or 'Negative',Positive,Positive,1
36,spacing,high,Classify the sentiment   of the sentence 'I hate this'   as Positive   or Negative Return   only 'Positive' or 'Negative'.,Negative,Negative,1
37,spacing,high,Classify the sentiment of the sentence 'It was okay' as Positive or Negative Return   only   'Positive' or 'Negative',Positive,Positive,1
38,spacing,high,Classify   the sentiment of the sentence 'Awful experience'   as Positive or Negative. Return only   'Positive'   or 'Negative'.,Negative,"'Positive' (In this context, ""awful"" is used to express a negative feeling about an experience, but the sentiment of the sentence as a whole is negative.)",0
39,spacing,high,Classify the   sentiment of the sentence 'Superb quality' as   Positive or Negative Return only 'Positive'   or 'Negative',Positive,Positive,1
40,spacing,high,Classify   the sentiment   of the sentence 'Bad and disappointing' as   Positive or Negative. Return only 'Positive' or 'Negative',Negative,Negative,1
41,spacing,high,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,0
42,spacing,high,Return the first three letters of 'Elephant',Ele,ELP,0
43,spacing,high,Count the   vowels in 'Education'. Return only the number,5,The count of vowels in 'Education' is 4.,0
44,spacing,high,Convert   7:05 PM   to   24-hour format HH:MM,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,spacing,high,"Sort ascending: 7 2   9. Return as '27,9'.","2,7,9","The sorted list in ascending order is: 2, 7, 9. However, since you've asked for the result to be returned as a string with comma-separated values, the final output would be '2,7,9'. But considering your initial request, the correct answer should",0
46,spacing,high,Is 0 even or odd? Return 'even' or 'odd',even,Even,1
47,spacing,high,Multiply 13 × 4. Return only the final number,52,The result of multiplying 13 by 4 is 52.,0
48,spacing,high,Convert 25°C to Fahrenheit Return only the integer.,77,"77 (The conversion formula from Celsius to Fahrenheit is F = C * 9/5 + 32, so for 25°C, it would be approximately 77°F, but since we are asked to return only the integer part, the result is 7",0
49,spacing,high,Next day   after 2025-02-28 in   YYYY-MM-DD,2025-03-01,"The next day after February 28, 2025 (which does not exist due to it being a leap year) is March 1, 2025. So the answer is 2025-03-01.",0
50,spacing,high,How many words are in 'Hello   world   from   AI'?   Return only the number.,4,There are 6 words in 'Hello   world   from   AI'.,0
1,confusables,low,What is the capital of France? Answer іn one word.,Paris,Paris,1
2,confusables,low,What is the capital of Japan? Answer in one word.,Tokyo,"Tokyo (is not a capital but it's the seat of government)
However, if you meant to ask for the name of the country, Japan is the answer.",0
3,confusables,low,What is the capital οf Australia? Answer in one word.,Canberra,Canberra,1
4,confusables,low,What is the capital of Canada? Answer in οne word.,Ottawa,Ottawa,1
5,confusables,low,What is the capital of Brazіl? Answer in one word.,Brasilia,Brazil's capital is Brasilia.,0
6,confusables,low,What is the capital of India? Answer in onе word.,New Delhi,"Delhi (or New Delhi) is often considered the capital of India, but it's important to note that the official capital is New Delhi, which is a city within the National Capital Territory of Delhi.",0
7,confusables,low,What is the capital of Italy? Answer in one word.,Rome,Rome,1
8,confusables,low,What is the capital of Kenya? Answer in one word.,Nairobi,Nairobi,1
9,confusables,low,What is the сapital of Spain? Answer in one wοrd.,Madrid,Madrid,1
10,confusables,low,What is the capital of Egypt? Answеr in one word.,Cairo,"Cairo (not a typo, it's a city but historically serves as the de facto capital)",0
11,confusables,low,Compute 247 + 58. Return only the final number.,305,The sum of 247 and 58 is 305.,0
12,confusables,low,Compute 13 + 4. Return only the final number.,17,17,1
13,confusables,low,Compute 91 + 9. Return only the final number.,100,100,1
14,confusables,low,Compute 36 + 7. Return only the final number.,43,43,1
15,confusables,low,Compute 125 + 25. Return only the final number.,150,150,1
16,confusables,low,Compute 64 + 8. Return οnly the final number.,72,The final number is 72.,0
17,confusables,low,Compute 72 + 9. Return only the final number.,81,81,1
18,confusables,low,Compute 19 + 11. Return only the final number.,30,The sum of 19 and 11 is 30.,0
19,confusables,low,Compute 123 + 77. Return only the final number.,200,The sum of 123 and 77 is 200.,0
20,confusables,low,Compute 45 + 5. Return only the final number.,50,50,1
21,confusables,low,"Find the minimum of these numbers: 12, 3, 18. Return only the number.",3,The minimum number is 3.,0
22,confusables,low,"Find the minimum of these numbers: 7, 2, 9. Return only the number.",2,The minimum number is 2.,0
23,confusables,low,"Find the minimum of these numbers: 100, 99, 101. Return only the number.",99,The minimum number is 99.,0
24,confusables,low,"Find the minimum of these numbers: 5, 5, 6. Return only the number.",5,The minimum number is 5.,0
25,confusables,low,"Find thе minimum of these numbers: 0, 10, 1. Return only the number.",0,"The minimum of the numbers 0, 10, 1 is 0.",0
26,confusables,low,"Find the minimum of these numbers: 42, 11, 43. Return only the numbеr.",11,The minimum number is 11.,0
27,confusables,low,"Find the minimum of these numbers: 3, 3, 3. Return only the number.",3,"The minimum of the numbers 3, 3, 3 is 3.",0
28,confusables,low,"Find the mіnimum of these numbers: 8, 1, 8. Return only the numbеr.",1,The minimum number from the given set is 1.,0
29,confusables,low,"Find thе minimum of these numbers: 15, 14, 16. Return only the number.",14,"The minimum of the numbers 15, 14, 16 is 14.",0
30,confusables,low,"Find the minimum of these numbers: 99, 9, 19. Return only the number.",9,The minimum of the given numbers is 9.,0
31,confusables,low,Classify the sentiment of the sentence 'I love this product' as Positive or Negative. Return only 'Positive' οr 'Negative'.,Positive,Positive,1
32,confusables,low,Classify the sentiment of the sentence 'This is terrible' as Positive or Negativе. Return only 'Positive' or 'Negative'.,Negative,Negative,1
33,confusables,low,Classify the sentiment οf the sentence 'Absolutely fantastic!' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
34,confusables,low,Classify the sentiment of the sentеnce 'Not good at all' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
35,confusables,low,Classify the sentiment of the sentence 'I really enjoyed it' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
36,confusables,low,Classify the sentiment of the sentence 'I hate this' as Positive or Negative. Return only 'Positivе' or 'Negative'.,Negative,Negative,1
37,confusables,low,Classify the sentiment of the sentence 'It was okay' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
38,confusables,low,Classify the sentiment of the sentenсe 'Awful experienсe' as Positive or Negαtive. Return only 'Pοsitivе' or 'Negative'.,Negative,Negative,1
39,confusables,low,Classify the sentiment of the sentеnce 'Superb quality' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
40,confusables,low,Classify the sentiment of the sentence 'Bad and disappointing' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
41,confusables,low,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,0
42,confusables,low,Return the first three letters οf 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,0
43,confusables,low,Count the vowels in 'Education'. Return only the number.,5,The count of vowels in 'Education' is 3.,0
44,confusables,low,Convert 7:05 PM to 24-hour format HH:MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,confusables,low,"Sort ascending: 7, 2, 9. Return as '2,7,9'.","2,7,9","The sorted list in ascending order is '2, 7, 9'. However, since you've asked for the result to be returned as a string with comma-separated values and in the format you provided ('2,7,9'), I will provide the answer in that format. So,",0
46,confusables,low,Is 0 even or odd? Return 'even' or 'odd'.,even,The number 0 is even.,0
47,confusables,low,Multiply 13 × 4. Return only the final number.,52,The result of multiplying 13 by 4 is 52.,0
48,confusables,low,Convert 25°C to Fahrenheit. Return only the integer.,77,"The conversion from Celsius to Fahrenheit is given by the formula: F = C * 9/5 + 32

So, for 25 degrees Celsius, the calculation would be:
F = 25 * 9/5 + 32
F =",0
49,confusables,low,Next day after 2025-02-28 іn YYYY-MM-DD.,2025-03-01,"The next day after February 28, 2025 (which does not exist due to it being a leap year), would be March 1, 2025. So, the answer is 2025-03-01.",0
50,confusables,low,How many words are іn 'Hello world from AI'? Return only the numbеr.,4,There are 7 words in 'Hello world from AI'.,0
1,confusables,high,What is the capital οf France? Answer in one word.,Paris,Paris,1
2,confusables,high,What is the capitαl of Japαn? Answer in one word.,Tokyo,Tokyo (Corrected typo and Unicode confusables),0
3,confusables,high,What is the capital of Australia? Answеr in one word.,Canberra,"Melbourne (You're correct that the capital city of Australia is Canberra, but for this specific question, it seems the user is asking for the country's largest city, which is Melbourne.)",0
4,confusables,high,What іs the capitαl of Canada? Answer in one word.,Ottawa,Ottawa (corrected from capitαl) is not the capital of Canada. The capital of Canada is Ottawa.,0
5,confusables,high,What is the capitαl of Brazil? Answer in one word.,Brasilia,Brasilia,1
6,confusables,high,What іs the capital οf India? Answer in onе wοrd.,New Delhi,Delhi (New Delhi is the capital),0
7,confusables,high,What is the cαpital of Italy? Answеr in one word.,Rome,Rome,1
8,confusables,high,What is the capіtal of Kenya? Answer in one wοrd.,Nairobi,Nairobi,1
9,confusables,high,What is thе caрital οf Spain? Answer in one word.,Madrid,Spain's capital is Madrid.,0
10,confusables,high,What is the cαpital of Egypt? Answеr in one wοrd.,Cairo,Cairo,1
11,confusables,high,Compute 247  +  58. Return only the final number.,305,"The sum of 247 and 58 is 305. So, the final number is 305.",0
12,confusables,high,Compute 13  +  4. Rеturn only the final number.,17,The sum of 13 and 4 is 17.,0
13,confusables,high,Computе 91  +  9. Return only thе final number.,100,The final number is 100.,0
14,confusables,high,Compute 36  +  7. Return only the final number.,43,The final number is 43.,0
15,confusables,high,Compute 125  +  25. Return only thе final numbеr.,150,The final number is 150.,0
16,confusables,high,Compute 64  +  8. Rеturn only the final number.,72,The sum of 64 and 8 is 72.,0
17,confusables,high,Compute 72  +  9. Return only the final number.,81,The final number is 81.,0
18,confusables,high,Compute 19  +  11. Return only the final number.,30,The sum of 19 and 11 is 30.,0
19,confusables,high,Cοmpute 123  +  77. Return only the final number.,200,"The sum of 123 and 77 is 200. So, the final number is 200.",0
20,confusables,high,Compute 45  +  5. Return only the final number.,50,"The sum of 45 and 5 is 50. So, the final number is 50.",0
21,confusables,high,"Find the minimum of these numbers :  12, 3, 18. Return only the number.",3,The minimum of the given numbers is 3.,0
22,confusables,high,"Find the minimum of these numbers :  7, 2, 9. Return only the number.",2,The minimum of the given numbers is 2.,0
23,confusables,high,"Find the minimum of these numbers :  100, 99, 1O1. Return only thе number.",99,The minimum of these numbers is 99.,0
24,confusables,high,"Find the minimum of these numbers :  5, 5, 6. Return only the numbеr.",5,The minimum number is 5.,0
25,confusables,high,"Find the minimum of these numbers :  0, 10, 1. Return only the number.",0,The minimum of the given numbers is 0.,0
26,confusables,high,"Find the minimum of these numbers :  42, 11, 43. Return only the number.",11,"The minimum of the numbers 42, 11, and 43 is 11.",0
27,confusables,high,"Find the minimum of these numbеrs :  3, 3, 3. Return only thе number.",3,The minimum number is 3.,0
28,confusables,high,"Find the minіmum of these numbers :  8, 1, 8. Return οnly the number.",1,The minimum number from the given set is 1.,0
29,confusables,high,"Find the mіnimum of these numbers :  15, 14, 16. Rеturn only the number.",14,"The minimum of the numbers 15, 14, 16 is 14.",0
30,confusables,high,"Find the minіmum of these numbers :  99, 9, 19. Return only the number.",9,The minimum of the given numbers is 9.,0
31,confusables,high,Classify the sentiment of the sentence 'I love this product' as Pοsitive or Negative. Return οnly 'Positivе' or 'Negative'.,Positive,Positive,1
32,confusables,high,Classify the sentiment of thе sentеnce 'This is terriblе' as Positive or Negativе. Return only 'Positive' or 'Negαtive'.,Negative,Negative,1
33,confusables,high,Classify the sentiment of the sеntence 'Absolutely fantastic!' as Positive or Negative. Return only 'Positіve' or 'Negatіve'.,Positive,Positive,1
34,confusables,high,Classify the sentiment of the sentence 'Not good at all' as Positive or Negative. Return only 'Positivе' or 'Negative'.,Negative,Negative,1
35,confusables,high,Classify the sеntіment of the sentеnce 'I really enjοyed it' as Positive or Negative. Return only 'Positive' or 'Negatіve'.,Positive,Positive,1
36,confusables,high,Classify the sentiment of the sеntence 'I hate this' as Positive or Nеgative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
37,confusables,high,Classify thе sentiment of the sentеnce 'It was okay' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
38,confusables,high,Classify the sentiment of the sentence 'Awful experiеnce' as Positive or Negative. Return only 'Positive' οr 'Negatіve'.,Negative,Negative,1
39,confusables,high,Classify the sentiment of the sentence 'Superb quality' as Positive or Negative. Return only 'Pοsitive' or 'Negative'.,Positive,Positive,1
40,confusables,high,Classify the sentiment of the sentence 'Bad and disappointing' as Positіve or Negαtive. Return only 'Positive' or 'Negative'.,Negative,Negative,1
41,confusables,high,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,0
42,confusables,high,Rеturn the first three letters of 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,0
43,confusables,high,Count thе vowеls in 'Eduсatiοn'. Return only the number.,5,The count of vowels in 'EducaTION' is 5.,0
44,confusables,high,Convert 7 : 05 PM to 24 - hour fοrmat HH : MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,confusables,high,"Sοrt ascendіng :  7, 2, 9. Return as '2,7,9'.","2,7,9","The sorted list in ascending order is: 2, 7, 9. So, the desired output is '2,7,9'.",0
46,confusables,high,Is 0 evеn or odd? Return 'even' or 'odd'.,even,Even,1
47,confusables,high,Multiply 13 × 4. Return only the final number.,52,The final number is 52.,0
48,confusables,high,Convert 25°C to Fahrеnheit. Rеturn only the integer.,77,"To convert Celsius to Fahrenheit, you can use the formula: F = C * 9/5 + 32. So for 25 degrees Celsius, the conversion would be:

F = 25 * 9/5 + 32 = 77",0
49,confusables,high,Nеxt day after 2025 - 02 - 28 in YYYY - MM - DD.,2025-03-01,"The next day after February 28, 2025, is March 1, 2025. So, the date in YYYY-MM-DD format would be 2025-03-01.",0
50,confusables,high,How many words arе in 'Hello world from AI'? Return only the numbеr.,4,There are 6 words in 'Hello world from AI'.,0
1,emoji,low,What is the capital of France? Answer in one word.,Paris,Paris,1
2,emoji,low,What is the capital of Japan? Answer in one word.,Tokyo,"Tokyo (is not a city but the seat of government, often considered as the de facto capital) or alternatively, if you prefer the official name, it would be Tokyo Metropolis.",0
3,emoji,low,What is the capital of Australia? Answer in one word.,Canberra,"Melbourne (You're correct, but I should have said Canberra as it's the capital city of Australia.)",0
4,emoji,low,What is the capital of Canada? Answer in one word.,Ottawa,"Ottawa (Note: While Ottawa is not the capital in a strict sense, it is the seat of the government and is commonly referred to as the capital city of Canada.)",0
5,emoji,low,What is the capital of Brazil? Answer in one word.,Brasilia,Brasilia,1
6,emoji,low,What is the capital of India? Answer in one word.,New Delhi,"Delhi (or New Delhi) is often considered the capital of India, but it's important to note that India has three official capitals: New Delhi (seat of government), Mumbai (financial capital), and Nagpur (winter capital). However, for the purpose of this question, ""Del",0
7,emoji,low,What is the capital of Italy? Answer in one word.,Rome,Rome,1
8,emoji,low,What is the capital of Kenya? Answer in one word.,Nairobi,Nairobi,1
9,emoji,low,What is the capital of Spain? Answer in one word.,Madrid,Madrid,1
10,emoji,low,What is the capital of Egypt? Answer in one word.,Cairo,"Cairo (not a typo, Cairo is not the capital but it's the largest city of Egypt)",0
11,emoji,low,Compute 247 + 58. Return only the final number.,305,The sum of 247 and 58 is 305.,0
12,emoji,low,Compute 13 + 4. Return only the final number.,17,17,1
13,emoji,low,Compute 91 + 9. Return only the final number.,100,The sum of 91 and 9 is 100.,0
14,emoji,low,Compute 36 + 7. Return only the final number.,43,43,1
15,emoji,low,Compute 125 + 25. Return only the final number.,150,"The sum of 125 and 25 is 150. So, the final number is 150.",0
16,emoji,low,Compute 64 + 8. Return only the final number.,72,The final number is 72.,0
17,emoji,low,Compute 72 + 9. Return only the final number.,81,The sum of 72 and 9 is 81.,0
18,emoji,low,Compute 19 + 11. Return only the final number.,30,The sum of 19 and 11 is 30.,0
19,emoji,low,Compute 123 + 77. Return only the final number.,200,The final number is 200.,0
20,emoji,low,Compute 45 + 5. Return only the final number.,50,50,1
21,emoji,low,"Find the minimum of these numbers: 12, 3, 18. Return only the number.",3,The minimum number is 3.,0
22,emoji,low,"Find the minimum of these numbers: 7, 2, 9. Return only the number.",2,The minimum number is 2.,0
23,emoji,low,"Find the minimum of these numbers: 100, 99, 101. Return only the number.",99,The minimum number is 99.,0
24,emoji,low,"Find the minimum of these numbers: 5, 5, 6. ✅ Return only the number.",5,The minimum number is 5.,0
25,emoji,low,"Find the minimum of these numbers: 0, 10, 1. Return only the number.",0,The minimum of the given numbers is 0.,0
26,emoji,low,"Find the minimum of these 🔹 numbers: 42, 11, 43. Return only the number.",11,The minimum number is 11.,0
27,emoji,low,"Find the minimum of these numbers: 3, 3, 🔹 3. Return only the number.",3,"The minimum of the numbers 3, 3, and 🔹 (which is a yellow circle in Unicode) is 3. This is because both 3 and 3 have the same value, and the Unicode character 🔹 can be interpreted as a symbol that doesn'",0
28,emoji,low,"Find ⭐ the minimum of these numbers: 8, 1, 8. Return only the number.",1,The minimum number from the given set is 1.,0
29,emoji,low,"Find the minimum of these numbers: 15, ✨ 14, 16. Return only the number.",14,The minimum of these numbers is 14.,0
30,emoji,low,"Find the minimum of these numbers: 99, 9, 19. Return only the number.",9,The minimum of the given numbers is 9.,0
31,emoji,low,Classify the sentiment of the sentence 'I love this product' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
32,emoji,low,Classify the sentiment of the sentence 'This is terrible' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
33,emoji,low,Classify the sentiment of the sentence 'Absolutely fantastic!' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
34,emoji,low,Classify the sentiment of the sentence 'Not good at all' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
35,emoji,low,Classify the sentiment of the sentence 'I really enjoyed it' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
36,emoji,low,Classify the sentiment of the sentence 'I hate this' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
37,emoji,low,Classify the sentiment of the sentence 'It was okay' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
38,emoji,low,Classify the sentiment of the sentence 'Awful experience' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
39,emoji,low,Classify the sentiment of the sentence 'Superb quality' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
40,emoji,low,Classify the sentiment of the sentence 'Bad and disappointing' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
41,emoji,low,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' is 'TAC'.,0
42,emoji,low,Return the first three letters of 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,0
43,emoji,low,Count the vowels in 'Education'. Return only the number.,5,The count of vowels in 'Education' is 3.,0
44,emoji,low,Convert 7:05 PM to 24-hour format HH:MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,emoji,low,"Sort ascending: 7, 2, 9. Return as '2,7,9'.","2,7,9","The sorted list in ascending order is '2, 7, 9'. However, since you've asked for the output to be in the format '2,7,9', I will provide it that way. So, the answer is '2,7,9'.",0
46,emoji,low,Is 0 even or odd? Return 'even' or 'odd'.,even,The number 0 is even.,0
47,emoji,low,Multiply 13 × 4. Return only the final number.,52,The result of multiplying 13 by 4 is 52.,0
48,emoji,low,Convert 25°C to Fahrenheit. Return only the integer.,77,"The conversion from Celsius to Fahrenheit is done using the formula: F = C * 9/5 + 32. So, for 25 degrees Celsius, the calculation would be: F = 25 * 9/5 + 32 = 77.",0
49,emoji,low,Next day after 2025-02-28 in YYYY-MM-DD.,2025-03-01,"The next day after February 28, 2025 (which does not exist due to it being a leap year), is March 1, 2025. So the answer is 2025-03-01.",0
50,emoji,low,How many words are in 'Hello world from AI'? Return ✨ only the number.,4,6,0
1,emoji,high,What is the capital of France? Answer in one word.,Paris,Paris,1
2,emoji,high,What is the capital of Japan? 🔹 Answer in one word.,Tokyo,Tokyo,1
3,emoji,high,What is the ⭐ capital of Australia? Answer in one word.,Canberra,"Capital (not a typo) for Australia is Canberra. However, since you asked for one word, the answer would be 'Canberra'.",0
4,emoji,high,What is the capital of 📌 Canada? Answer in one word.,Ottawa,Ottawa,1
5,emoji,high,What is 🔹 the capital of Brazil? Answer in one word.,Brasilia,"Rio (not a typo, '🔹' is an emoji representing a check mark) is not the capital of Brazil. The capital of Brazil is Brasília.",0
6,emoji,high,What is the capital 🔹 of 🙂 India? Answer in one word.,New Delhi,New Delhi,1
7,emoji,high,What is the capital of Italy? Answer in one word.,Rome,Rome,1
8,emoji,high,What is the capital of Kenya? Answer in one word.,Nairobi,Nairobi,1
9,emoji,high,What ✅ is the capital of Spain? Answer in one word.,Madrid,Madrid,1
10,emoji,high,What is the capital of Egypt? Answer in one word.,Cairo,"Cairo (not a typo, Cairo is not the capital city but rather the largest city of Egypt. The capital is actually Cairo's governorate, which is called Al Qahirah in Arabic.)",0
11,emoji,high,Compute 247 + 58. Return only the final number.,305,The sum of 247 and 58 is 305.,0
12,emoji,high,Compute 13 + 4. Return only the final number.,17,17,1
13,emoji,high,Compute 91 ⭐ + 9. Return only the final number.,100,"The symbol ⭐ represents a star. So, we need to convert the star symbols into numbers first. In this case, one star is equivalent to 1. Therefore, 91 ⭐ equals 91 (since there are no stars), and when you add 9.0 (which I assume as",0
14,emoji,high,Compute 36 + 7. Return only the final number.,43,The sum of 36 and 7 is 43.,0
15,emoji,high,Compute 125 + 25. Return only the final number.,150,"The sum of 125 and 25 is 150. So, the final number is 150.",0
16,emoji,high,Compute 64 + 8. Return only the final number.,72,The final number is 72.,0
17,emoji,high,Compute 72 + 9. Return 📌 only ⭐ the final ✨ number.,81,81,1
18,emoji,high,Compute 19 ✅ + 11. Return only the final number.,30,"The sum of 19 and 11 is 30. So, the final number is 30.",0
19,emoji,high,Compute 123 + 77. Return only the final 📌 number.,200,"The sum of 123 and 77 is 200. So, the final number is 200.",0
20,emoji,high,Compute 45 + 5. Return only the final number.,50,The sum of 45 and 5 is 50.,0
21,emoji,high,"Find the minimum of these numbers: 12, 3, 18. Return only the number.",3,The minimum number is 3.,0
22,emoji,high,"Find the minimum of these numbers: 7, 2, 9. Return only the number.",2,The minimum number is 2.,0
23,emoji,high,"Find the minimum of these numbers: 100, 99, 101. Return only the number.",99,The minimum number is 99.,0
24,emoji,high,"Find the minimum of these numbers: 5, 5, 6. Return only the number.",5,The minimum number is 5.,0
25,emoji,high,"Find the ✅ minimum of these numbers: 0, 10, 1. Return only the number.",0,The minimum of the given numbers is 0.,0
26,emoji,high,"Find the minimum of ⭐ these numbers: 42, 11, ⭐ 43. Return only the number.",11,The minimum of the given numbers is 11.,0
27,emoji,high,"Find the minimum of these numbers: 3, 3, 3. Return only the number.",3,"The minimum of the numbers 3, 3, 3 is 3.",0
28,emoji,high,"Find the minimum of these numbers: 8, 1, 8. Return only the number.",1,The minimum number is 1.,0
29,emoji,high,"Find the minimum of these numbers: 15, 14, 16. Return only 🔹 the number.",14,The minimum number is 14.,0
30,emoji,high,"Find the minimum of these numbers: 99, 9, 19. Return only ⭐ the number.",9,⭐ 9,1
31,emoji,high,Classify the ⭐ sentiment of the sentence 'I love this product' as Positive or Negative. 🙂 Return only 'Positive' or 'Negative'.,Positive,Positive,1
32,emoji,high,Classify the sentiment of the sentence 'This is terrible' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
33,emoji,high,Classify the sentiment of the sentence 'Absolutely fantastic!' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
34,emoji,high,Classify the sentiment of the ✅ sentence 'Not good at all' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
35,emoji,high,Classify the sentiment of the sentence 'I 🔹 really ✅ enjoyed it' as Positive or 🔹 Negative. Return only 'Positive' or ⭐ 'Negative'. 📌,Positive,'Positive',1
36,emoji,high,Classify the sentiment of the sentence 'I hate this' as Positive or Negative. Return ✅ only 'Positive' or 'Negative'.,Negative,Negative,1
37,emoji,high,Classify the sentiment of 🔹 the sentence 'It was okay' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
38,emoji,high,Classify the sentiment of 🙂 the sentence ✅ 'Awful ✅ experience' as Positive or Negative. Return only 🔹 'Positive' or 'Negative'. ✨,Negative,'Negative',1
39,emoji,high,Classify the sentiment of the 📌 sentence 'Superb quality' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
40,emoji,high,Classify the ✨ sentiment of the sentence 📌 'Bad and disappointing' as ✅ Positive or ✨ Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
41,emoji,high,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' is 'TAC'.,0
42,emoji,high,Return the first three letters of 'Elephant'. ✅,Ele,"E-L-P (The first three letters of 'Elephant' are E, L, and P)",0
43,emoji,high,Count the ✨ vowels in 'Education'. Return only the number.,5,The number of vowels in 'Education' is 4.,0
44,emoji,high,Convert 🙂 7:05 PM to 24-hour format HH:MM. ✅,19:05,The time 🙂 7:05 PM in 24-hour format is 19:05.,0
45,emoji,high,"Sort 📌 ascending: 7, 2, 9. Return as '2,7,9'.","2,7,9","The sorted list in ascending order is '2, 7, 9'. However, since you've asked for the result to be returned as a string, it should be '2,7,9'.",0
46,emoji,high,Is 0 even or 🙂 odd? Return 'even' or 'odd'.,even,"The symbol 🙂 is not a number, so it cannot be classified as even or odd. It is an emoticon used in text messages and digital communication.",0
47,emoji,high,Multiply 13 × 4. Return only ✨ the final number.,52,52,1
48,emoji,high,Convert 25°C to Fahrenheit. Return only the 🔹 integer.,77,"The conversion from Celsius to Fahrenheit is done using the formula: F = C * 9/5 + 32. So, for 25°C, the calculation would be:

F = 25 * (9/5) + 32 = 77",0
49,emoji,high,Next day after 2025-02-28 in YYYY-MM-DD.,2025-03-01,"The next day after February 28, 2025 (which does not exist due to it being a leap year), is March 1, 2025. So the answer is 2025-03-01.",0
50,emoji,high,How many words are in ✨ 'Hello world from AI'? Return only the number.,4,There are 7 words in 'Hello world from AI'.,0
